"p","K","nu","delta","sparse","alpha","criterion","independent","detector","combine","ARL","CAD","PFA","power"
1,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1223.30666666667,255.57,0.0466666666666667,1
1,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,993,0.98,0.0766666666666667
1,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","average",1754.82,754.82,0,1
1,10,1000,0.0164754897244207,FALSE,1e-04,"ARL",TRUE,"bounded","product",624.703333333333,240.57,0.683333333333333,1
0,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",117.786666666667,107.786666666667,0,1
0,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1403.65584415584,0,0.513333333333333
0,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",216.116666666667,206.116666666667,0,1
0,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",149.613333333333,139.613333333333,0,1
1,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",260.816666666667,250.816666666667,0,1
1,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1171.21428571429,0.00666666666666667,0.606666666666667
1,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",241.666666666667,231.666666666667,0,1
1,2,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",167.71,157.71,0,1
0,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",112.71,102.71,0,1
0,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1159.1,0,0.0666666666666667
0,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",513.38,503.38,0,1
0,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",160.84,150.84,0,1
1,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",263.383333333333,253.383333333333,0,1
1,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"misspec","joint",Inf,1105,0.976666666666667,0.143333333333333
1,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","average",518.33,508.33,0,1
1,10,10,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"bounded","product",101.476666666667,91.4766666666667,0,1
0,2,1000,0.0194588771757639,FALSE,1e-04,"ARL",TRUE,"oracle","joint",1059.02333333333,90.12,0.0666666666666667,1
